Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
AsiaWorld-Expo,Islands,Hin Keng,Sha Tin,60,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi -> Kai Tak -> Diamond Hill -> Hin Keng
AsiaWorld-Expo,Islands,Kai Tak,Kowloon City,53,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi -> Kai Tak
AsiaWorld-Expo,Islands,Sung Wong Toi,Kowloon City,51,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi
AsiaWorld-Expo,Islands,To Kwa Wan,Kowloon City,49,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan
AsiaWorld-Expo,Islands,East Tsim Sha Tsui,Yau Tsim Mong,42,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui
AsiaWorld-Expo,Islands,Austin,Yau Tsim Mong,39,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin
AsiaWorld-Expo,Islands,Nam Cheong,Sham Shui Po,32,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong
AsiaWorld-Expo,Islands,Mei Foo,Sham Shui Po,32,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo
AsiaWorld-Expo,Islands,Tsuen Wan West,Tsuen Wan,41,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West
AsiaWorld-Expo,Islands,Kam Sheung Road,Yuen Long,47,65.0,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road
